Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Restricts a function in n - dimensions to a given direction .,Creates a restricted function along a given direction for optimization purposes.,4.474808089308961,13.191,22.9099,50.6051,70.6187,-7.3672,47.62,21.05,47.62
Recursively searches from the parent to the child gathering all the applicable namespaces along the way,"Searches for a specific child node within a parent node's hierarchy, collects XML namespaces along the way, and returns a boolean indicating if the child was found.",4.240832939367408,10.6828,14.4507,33.9506,62.3464,99.2082,36.36,19.05,27.27
Inverse of the covariance matrix,Calculate and return the inverse covariance matrix from the root of the tree.,4.364386746418245,6.6169,16.103,76.8966,71.0693,2.5616,55.56,25.0,33.33
Checks whether the Wolfe or approx Wolfe conditions are satisfied .,Check if Wolfe conditions are satisfied for line search,4.971634450732855,26.7087,34.512,48.8889,68.315,45.7612,42.11,35.29,42.11
Return a list with number of missed cache lines per memory hierarchy level .,Calculate and return the miss count for each cache level normalized by the first dimension factor.,4.344480865816606,2.0682,8.643,18.797,67.1016,31.539,20.69,0.0,20.69
Runs the model forward to return a stochastic encoding .,Defines a call method for a model that encodes inputs into a multivariate normal distribution with a diagonal covariance matrix.,4.98618020412019,1.5506,6.1835,14.8515,63.338,-40.9962,13.79,0.0,13.79
Return the ancestry of the context ( that is all of the packages and modules containing the context ) in order of descent with the outermost ancestor last . This method is a generator .,"Generates a sequence of ancestor modules for the given context, resolving each one by name.",4.900812145741921,0.8937,4.0474,13.6054,53.0223,91.5173,26.09,0.0,17.39
Return absolute path at which item content can be accessed .,"Retrieve the absolute path of an item in the dataset by its identifier, downloading it from S3 if it's not already cached locally.",4.953450654463333,2.7762,6.7359,22.4172,55.4803,99.8492,17.65,6.25,17.65
Sets general options used by plugins and streams originating from this session object .,"Configures various options by mapping keys to specific behaviors or settings, including proxy settings, cookies, headers, query parameters, SSL verification, and timeouts.",4.985343382575588,1.5848,6.1981,14.3885,52.2287,45.2436,17.14,0.0,17.14
Shows the number of paid invoices containing given products or categories per day .,"Generate a report of paid invoices by date, filtering by selected products or categories, and aggregating payment times.",4.486608917367165,11.7237,17.8765,43.6214,66.5665,97.5394,38.71,27.59,38.71
Standardizes continuous features and expands categorical features .,"Transforms a dataset by standardizing continuous features, one-hot encoding categorical features, and mapping outcomes to new values.",4.94802586508987,5.4045,12.2738,69.4444,68.2234,98.5711,40.0,26.09,32.0
Return a convert - to - tensor func given a name config callable etc .,"Determines the appropriate tensor conversion function based on the provided identifier, which can be a string, dictionary, property, or callable.",4.94072711671491,1.716,6.8432,11.7188,56.5081,99.9569,18.75,0.0,18.75
Plot randomized benchmarking data .,"Plots randomized benchmarking data including individual sequences as gray x's, average sequence fidelity with error bars in red, and the fitted survival probability curve in blue.",4.983313991212358,4.6549,7.8507,62.996,62.0762,87.3257,19.35,13.79,19.35
Returns a generator with all environmental vars with prefix PIP_,"Yield environment variables that match a specific prefix pattern, with the prefix removed and keys converted to lowercase.",4.991914967178416,1.8739,7.6384,18.5185,49.3203,99.9898,21.43,0.0,21.43
Creates a CNAME record attached to this hosted zone .,"Creates a CNAME DNS record with the specified name, values, and optional parameters like TTL, weight, region, and set identifier, then returns the created record.",4.620970545760439,5.3966,9.1327,35.3774,57.5643,99.9862,23.53,12.5,23.53
issue wakeup command to device to take out of standby mode .,"Sends a wakeup signal to the weather station by writing newline characters, checks for an acknowledgment, and raises an exception if the device does not respond.",4.546784732459547,1.3789,5.215,12.0,55.3557,99.9684,16.22,0.0,16.22
Loads several items from an iterable,"Processes a sequence of tuples, each containing a message and an item, and optional args and kwargs, to load them using the load method, with a check to ensure tuples do not exceed a certain length.",4.544340883012608,0.7987,2.8377,16.6667,46.4505,99.9509,4.76,0.0,4.76
Estimates the beats using librosa .,Estimate beat times and frame numbers from the percussive component of the audio.,4.303207401154283,1.8724,8.1825,25.8621,61.9738,-3.2199,11.11,0.0,11.11
Updates a logical interface .,"Updates a logical interface's details such as name, schema ID, and optionally description, then returns the updated interface information.",4.905744499785831,11.9861,16.2759,66.9643,61.5589,27.1243,33.33,27.27,33.33
Ensure that the path or the root of the current package ( if path is in a package ) is in sys . path .,"Adds a path to sys.path, including its parent directories if they are Python packages, and additional subdirectories from a configuration object.",4.550624058702992,3.4153,8.3748,20.208,59.027,99.7564,23.26,4.88,13.95
Converts py_zipkin s Endpoint to Protobuf s Endpoint .,Converts an endpoint object to its protobuf representation.,4.599916680458891,3.5693,17.5753,22.4719,69.5386,-39.9003,47.06,0.0,47.06
Register Flask blueprints .,Register multiple blueprints to the Flask application.,4.9960337056657815,4.2587,21.2545,44.1176,70.7746,-46.0286,60.0,0.0,40.0
Return the first n characters from the queue without removing them . Throws an error if there are less than n characters in the queue . Equivalent to :: s = queue [ : n ] if queue where a regular string .,Retrieves the first n bytes from the queue without removing them.,4.958420819565477,6.6317,8.5416,21.1126,70.0165,16.2315,39.13,31.82,39.13
Return a tuple with the process RSS and VMS size .,Retrieves and returns the resident set size (RSS) and virtual memory size (VMS) of a process.,4.989718818236498,4.9818,12.7033,50.1916,66.3531,99.9464,53.85,8.33,30.77
Return True if given Distribution is installed in user site .,Check if a distribution is located within the user site-packages directory.,4.642233165576037,7.1399,17.5422,43.7255,64.5524,-13.0777,45.45,20.0,45.45
Use SoftmaxNormal quantiles to form quadrature on K - 1 simplex .,Generates a grid of quantiles and corresponding probabilities for a softmax-normal distribution using a quadrature scheme.,4.601773532539002,1.7762,7.3279,15.3061,64.2025,41.957,15.38,0.0,15.38
Prepares and runs an SQL query for the history database .,"Executes a SQL query on the history or history joined with output_history based on parameters, optionally returning raw input and/or output.",4.534580979672207,3.8998,8.8511,32.9204,62.3025,99.4265,30.3,12.9,24.24
Returns an image tensor .,"Reads an image from a file, decodes it, converts its data type to float32, and returns it.",4.6442688245104495,3.8104,9.6441,48.218,58.7892,99.9764,28.57,10.53,19.05
