Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Restricts a function in n - dimensions to a given direction .,"Evaluates a function and its gradient at a point along a specified direction from a given position, returning both the function value and the directional derivative .",4.828503499364793,3.4875,7.7983,32.069,64.8546,92.8832,27.78,11.76,22.22
Recursively searches from the parent to the child gathering all the applicable namespaces along the way,"Checks if the 'child' node is a direct or indirect child of 'parent', and if so, collects XML namespace attributes from the 'child' node's ancestors into the 'namespaces' dictionary .",4.028255959685176,3.331,7.3216,22.9885,53.9533,90.3035,30.43,9.09,26.09
Inverse of the covariance matrix,Recursively updates the full matrix and returns the inverse covariance matrix from the root of the tree .,4.909212478845032,5.1486,12.1268,71.9355,68.6444,89.5894,45.45,20.0,27.27
Checks whether the Wolfe or approx Wolfe conditions are satisfied .,"Checks if the Wolfe conditions, both exact and approximate, are satisfied for a given set of values and parameters .",4.690017229564661,5.3816,12.1408,46.8909,69.0375,83.3292,41.38,22.22,41.38
Return a list with number of missed cache lines per memory hierarchy level .,"Returns a list of miss ratios for each cache level in the machine's memory hierarchy, adjusted by the `first_dim_factor` .",4.861311148966586,4.4179,10.0816,59.1971,70.1094,85.7226,40.0,12.12,34.29
Runs the model forward to return a stochastic encoding .,"This function casts the input to float32, passes it through an encoder network, and returns a multivariate normal distribution with learned mean and diagonal covariance as the latent code posterior .",4.987246900364398,1.2238,4.5012,38.4134,60.7636,89.7941,15.38,0.0,15.38
Return the ancestry of the context ( that is all of the packages and modules containing the context ) in order of descent with the outermost ancestor last . This method is a generator .,"This function retrieves and yields the ancestry of a given context, handling different types of context objects and logging the process .",4.819468394987949,5.012,8.7312,18.3333,57.5605,68.7568,38.46,8.0,26.92
Return absolute path at which item content can be accessed .,"Returns the absolute path of a local cache file corresponding to the given identifier, downloading it from S3 if not already cached .",4.275936000674272,2.7161,6.6603,22.8175,55.7993,74.7993,12.5,6.67,12.5
Sets general options used by plugins and streams originating from this session object .,"Sets the specified option by updating the appropriate configuration attribute or dictionary within the object, with special handling for proxy, cookies, headers, query params, and SSL settings .",4.078254957895923,1.4358,5.3902,17.3611,56.4843,98.384,20.0,0.0,15.0
Shows the number of paid invoices containing given products or categories per day .,"Retrieves and aggregates paid invoices and zero-value invoices by date, returning a report with the count of such invoices for each date .",4.359973680641606,3.1014,7.5639,31.8571,62.1909,94.2824,22.22,5.88,16.67
Standardizes continuous features and expands categorical features .,"This function preprocesses a dataset by transforming the outcome variable, ignoring specified features, expanding categorical variables, and standardizing continuous variables .",4.983021536642061,1.8439,7.3535,61.5797,65.6892,74.937,29.63,0.0,14.81
Return a convert - to - tensor func given a name config callable etc .,"Returns a tensor conversion function based on the provided identifier, which can be a string, dictionary, property, or callable .",4.052662012504052,1.9246,7.7573,29.2913,60.1652,98.463,25.81,0.0,25.81
Plot randomized benchmarking data .,"This function plots randomized benchmarking data with individual sequences in gray, the average sequence fidelity in red with error bars, and the fitted survival probability curve in blue, with the option to display the plot immediately .",4.817062158005371,3.7736,6.2808,52.0833,61.8489,87.6782,20.0,10.53,15.0
Returns a generator with all environmental vars with prefix PIP_,This function yields environment variable names (stripped of a specific prefix and converted to lowercase) and their values if they match a predefined regular expression pattern .,4.898344169763488,1.2459,4.7123,12.931,47.9241,77.1057,11.11,0.0,11.11
Creates a CNAME record attached to this hosted zone .,"Creates a CNAME record with the specified parameters, ensuring the operation is not performed on a deleted entity .",4.224928096219101,13.4453,18.1673,31.8813,62.1624,71.1874,29.63,24.0,29.63
issue wakeup command to device to take out of standby mode .,Initializes communication with the weather station by sending a wakeup signal and waits for an acknowledgment; raises an exception if no acknowledgment is received after three attempts .,4.946025497983165,1.0153,3.8114,3.9683,50.5024,91.6602,5.26,0.0,5.26
Loads several items from an iterable,"Loads multiple items by iterating over an iterable, each element of which can contain a message, an item, and optional args and kwargs; raises an error if an element contains more than four items .",4.402151560010842,2.1742,5.0596,22.7273,53.4727,87.2252,20.0,5.26,20.0
Estimates the beats using librosa .,Estimates the beat times and frame indices of percussive elements in an audio signal using harmonic-percussive source separation and Librosa's beat tracking .,4.559338553796469,2.9833,7.2382,53.913,67.048,96.3224,27.59,7.41,27.59
Updates a logical interface .,"Updates the specified logical interface with new name, schemaId, and optionally description, raising an exception for HTTP errors .",4.311598980467031,3.6142,9.0836,47.3251,61.3877,94.8976,27.27,10.0,27.27
Ensure that the path or the root of the current package ( if path is in a package ) is in sys . path .,"Adds the specified `path` to `sys.path` if it contains an `__init__.py` or is not already in `sys.path`, and also adds subdirectories specified in `config.srcDirs` .",3.998453401685053,6.0685,10.2182,29.2857,57.6333,82.9705,40.82,8.51,28.57
Converts py_zipkin s Endpoint to Protobuf s Endpoint .,"Converts a given endpoint object to a protobuf Endpoint format, populating service name, port, and IP address fields if available .",4.641684814284887,1.9497,7.7754,24.7525,60.5238,90.193,34.48,0.0,34.48
Register Flask blueprints .,"Registers multiple Flask blueprints to the application for different components such as public views, genes, cases, login, variants, panels, dashboard, API, alignment viewers, phenotypes, and institutes overview .",4.996281633577851,2.2535,5.3902,47.3251,57.279,92.4621,13.33,7.14,13.33
Return the first n characters from the queue without removing them . Throws an error if there are less than n characters in the queue . Equivalent to :: s = queue [ : n ] if queue where a regular string .,"Returns the first `n` bytes from the queue without removing them, raising a `ValueError` if there are not enough bytes available .",4.971720023041736,17.8655,20.3166,31.5613,68.772,87.0125,46.43,33.33,42.86
Return a tuple with the process RSS and VMS size .,Returns a named tuple containing the Resident Set Size (RSS) and Virtual Memory Size (VMS) of the process identified by `self.pid` .,4.974612216295484,4.5679,10.4239,68.4524,69.4769,73.0048,50.0,13.33,37.5
Return True if given Distribution is installed in user site .,Check if the given distribution is located within the user site directory by normalizing the paths and comparing them .,4.827323969696626,8.688,14.4379,51.6055,60.5782,-14.3402,41.38,22.22,41.38
Use SoftmaxNormal quantiles to form quadrature on K - 1 simplex .,Generates a grid of quantiles and corresponding probabilities for a softmax-transformed normal distribution using a specified quadrature scheme size .,4.359723766938494,1.5506,6.1835,14.8515,63.1761,96.0704,13.79,0.0,13.79
Prepares and runs an SQL query for the history database .,"Executes a SQL query with optional parameters, joining with output history if required, and returns a cursor or generator with the results .",4.049766594981469,3.4153,8.3748,33.2143,60.0538,92.9668,31.25,6.67,18.75
Returns an image tensor .,"Reads an image from the specified file path, decodes it with a predefined number of channels, converts its data type to float32, and returns the resulting tensor .",4.977642667513242,2.6799,6.4101,50.0992,59.3108,92.0548,25.81,6.9,19.35
Given an list of words this function highlights the matched text in the given string .,"Adds HTML class-based highlighting to keywords found within a given string, returning the modified string .",4.014028746386461,4.0308,10.2783,13.245,60.5831,80.3826,19.35,6.9,19.35
Transform a 0 - D or 1 - D Tensor to be 1 - D .,"Expands a scalar or vector `x` into a 1-D tensor, with optional argument validation and custom naming within TensorFlow's graph context .",4.4465644581161285,3.8411,8.7654,19.4175,60.1535,96.6801,25.81,13.79,25.81
Handles display of the options menu .,Initializes a modal dialog with specific traits if the `info` object is already initialized .,3.946852413428781,1.7585,7.5623,7.3529,54.3675,79.636,10.0,0.0,10.0
The return value for each rule can be either retyped compressed or left alone . This method determines that and returns the source code text for accomplishing it .,"Returns a string representing the transformation directive for a given rule, based on the rule's name and associated arguments .",4.101255897388038,1.438,5.8311,13.308,55.1469,97.6539,25.53,0.0,17.02
Runs Picard MarkDuplicates on a BAM file . Requires that the BAM file be coordinate sorted .,"This function `picard_mark_duplicates` identifies and marks duplicate reads in a BAM file using Picard's MarkDuplicates tool, with configurable validation stringency, within a job file system environment .",4.609865978682142,5.1599,8.6745,21.3415,60.3151,63.2311,27.27,9.52,22.73
Patch the three methods belonging to IPushProducer onto the transport if it doesn t already have them . ( Agent assumes its transport has these . ),"Adds no-op implementations for `pauseProducing` and `resumeProducing`, and maps `stopProducing` to `loseConnection` if they are not already implemented in the `transport` object .",4.870674126914468,3.2794,7.9979,10.8696,54.7207,90.7386,21.74,4.55,17.39
Takes a FunctionBody and optionally a FunctionType yielding the string representation of the function line by line . The function type is required for formatting function parameter and return value information .,"Generates a formatted string representation of a function's signature and body, with optional indentation and local variable formatting .",4.162831216915877,4.8695,8.5789,25.7439,63.518,93.7163,36.73,8.51,24.49
Get summary and description of this notebook,"Extracts and returns the header and description from the first markdown cell of a Jupyter notebook, handling optional formatting .",4.161618159472374,3.695,9.225,38.4909,51.6039,82.7121,30.77,8.33,30.77
Indicate whether an input line has ( i . e . ends in or is ) a comment . This uses tokenize so it can distinguish comments from # inside strings .,Checks if the provided source code string contains any comments by tokenizing the input and searching for comment tokens .,4.90212480967509,1.3061,5.3479,10.2459,56.6521,80.4137,13.64,0.0,9.09
prefixed topic for IOPub messages,This function constructs and returns a byte-encoded string that uniquely identifies a topic based on the internal ID or identifier of an engine or kernel instance .,4.696656968316834,1.0153,3.8114,6.9444,50.1902,79.1252,6.25,0.0,6.25
Attempts to list all of the modules and submodules found within a given directory tree . This function recursively searches the directory tree for potential python modules and returns a list of candidate names .,Scans the specified directory for subdirectories containing a module initializer file and returns a list of discovered modules .,4.40098512413133,10.391,13.0435,30.4211,68.1262,98.7603,39.22,16.33,31.37
Filter key events for the underlying text widget to create a console - like interface .,"Handles key press events in a console-like interface, managing text editing, command execution, and custom keybindings while ensuring cursor stays within editable text buffer .",4.31929830844393,10.8452,14.855,42.0327,62.8035,91.872,35.9,16.22,30.77
Create a new code cell with input and output,Creates a new code cell with optional code content and prompt number for a Jupyter Notebook .,4.930261650254541,23.9618,28.6062,49.4425,63.8434,88.1457,48.0,34.78,48.0
