Reference,Summary,G-eval,BLEU,BLEU-CN,METEOR,BERTSCORE,SIDESCORE,ROUGE-1,ROUGE-2,ROUGE-L
Restricts a function in n - dimensions to a given direction .,"Defines a function that restricts another function along a given direction, returning both the value and the projected gradient at that point.",4.997522478506823,7.5031,12.3961,45.6349,62.8722,97.045,37.5,20.0,31.25
Recursively searches from the parent to the child gathering all the applicable namespaces along the way,Recursively search for a specific child node within a parent node's children and collect XML namespaces along the way.,4.13613656741835,13.7859,18.72,50.1731,71.3065,88.7237,38.89,17.65,33.33
Inverse of the covariance matrix,Calculate the inverse of the covariance matrix for the root of the tree.,3.2965544585641195,28.9178,34.0538,76.8966,77.6543,93.2103,55.56,50.0,55.56
Checks whether the Wolfe or approx Wolfe conditions are satisfied .,Determine if Wolfe conditions are satisfied for line search in optimization,4.99781528769331,23.4624,30.6416,39.2946,64.3372,93.9022,38.1,31.58,38.1
Return a list with number of missed cache lines per memory hierarchy level .,Return a list of miss counts normalized by the first dimension factor for each cache level in the memory hierarchy.,2.874849412904991,8.8675,14.707,65.1095,75.8973,93.9007,48.48,19.35,42.42
Runs the model forward to return a stochastic encoding .,"The method defines a forward pass for a probabilistic encoder model that outputs a multivariate normal distribution with diagonal covariance, representing the posterior distribution of the latent code.",4.991389001193842,1.3929,5.1922,27.5229,62.6622,96.8626,21.62,0.0,16.22
Return the ancestry of the context ( that is all of the packages and modules containing the context ) in order of descent with the outermost ancestor last . This method is a generator .,"Generates a sequence of ancestor modules for a given context, resolving each module name.",4.78796148910102,0.7808,3.6408,11.9454,55.5504,81.622,22.22,0.0,13.33
Return absolute path at which item content can be accessed .,"Retrieve the absolute path of an item in the dataset by its identifier, downloading it from S3 if not already cached locally.",4.972708238538976,3.0059,7.3708,22.8175,55.4805,91.3672,18.75,6.67,18.75
Sets general options used by plugins and streams originating from this session object .,"Modifies configuration options for HTTP requests and other settings, translating certain keys to their internal representations and updating the appropriate attributes or dictionaries with the provided values.",4.672956409349178,1.2074,4.5326,10.4167,55.0449,75.2175,10.0,0.0,10.0
Shows the number of paid invoices containing given products or categories per day .,"Generates a report of paid invoices by date, filtering by selected products and categories, and aggregating payment times.",2.8732764448913133,7.9205,13.5832,33.037,67.3885,95.3613,32.26,13.79,32.26
Standardizes continuous features and expands categorical features .,"Transforms and standardizes a dataset by expanding categorical features into binary features, standardizing continuous features, and transforming the outcome variable according to a given dictionary.",4.970315799020584,6.6095,10.8606,54.4991,72.389,76.2417,37.5,20.0,25.0
Return a convert - to - tensor func given a name config callable etc .,Determines the appropriate function to convert an object to a tensor based on the type of the identifier provided.,4.54652078556971,1.9246,7.7573,15.748,59.1006,95.4313,25.81,0.0,19.35
Plot randomized benchmarking data .,"Plots randomized benchmarking data including individual sequences as gray crosses, average sequence fidelity with error bars in red, and the fitted survival probability curve in blue.",3.875448731985366,4.8313,8.1619,64.0121,63.3194,81.2099,20.0,14.29,20.0
Returns a generator with all environmental vars with prefix PIP_,Retrieve environment variables that match a specific prefix pattern and yield them as lowercase keys without the prefix.,4.837542286361486,1.6932,6.9021,13.8889,51.367,87.9463,14.29,0.0,14.29
Creates a CNAME record attached to this hosted zone .,Creates a CNAME record with the specified parameters and adds it to the DNS record set.,4.993303434679789,16.1886,21.736,45.9794,66.4111,71.5452,40.0,26.09,40.0
issue wakeup command to device to take out of standby mode .,Attempt to wake up the weather station by sending newline characters and checking for an acknowledgment three times before raising an exception if the device does not respond.,4.895962006396369,1.1713,4.3661,7.874,51.3337,94.865,10.26,0.0,10.26
Loads several items from an iterable,"Processes an iterable of tuples, each containing a message and an item, and optional args and kwargs, to load them using a load function. It enforces a maximum tuple size of 4 to prevent errors.",4.544126343252012,1.8283,4.2546,22.7273,51.9091,85.8185,10.0,5.26,10.0
Estimates the beats using librosa .,Estimate the beat times and frame numbers from the percussive component of the audio.,4.963793791001692,1.7585,7.5623,25.4237,63.8225,95.1968,10.53,0.0,10.53
Updates a logical interface .,Updates the properties of a logical interface and returns the updated interface details in JSON format.,4.992175177580012,8.4416,14.5358,60.6971,67.3531,85.2835,40.0,22.22,40.0
Ensure that the path or the root of the current package ( if path is in a package ) is in sys . path .,"The function add_path adds the specified path to sys.path if it's not already there, and recursively adds the parent directory if the path contains an '__init__.py' file. It also adds subdirectories specified in config.srcDirs to sys.path.",4.938393406684216,2.6156,5.5272,25.2792,56.9737,88.4938,28.57,6.56,28.57
Converts py_zipkin s Endpoint to Protobuf s Endpoint .,Converts an endpoint object to a protobuf Endpoint format.,4.9998759306411,3.848,18.2211,27.7778,71.0901,84.746,55.56,0.0,55.56
Register Flask blueprints .,"Registers multiple blueprints to a Flask application for different components such as public, genes, cases, login, variants, panels, dashboard, API, alignviewers, phenotypes, and institutes.",4.953778156001093,1.3319,5.1182,29.4118,56.626,91.2485,14.81,0.0,7.41
Return the first n characters from the queue without removing them . Throws an error if there are less than n characters in the queue . Equivalent to :: s = queue [ : n ] if queue where a regular string .,Retrieves the first n bytes from the queue without removing them.,4.02526349997419,6.6317,8.5416,21.1126,70.0165,87.0722,39.13,31.82,39.13
Return a tuple with the process RSS and VMS size .,Retrieves the resident set size (RSS) and virtual memory size (VMS) of a process identified by its PID and returns them as a named tuple.,4.87212632012878,3.4182,8.2523,39.1304,65.7799,75.9469,45.71,6.06,22.86
Return True if given Distribution is installed in user site .,Check if the distribution is located within the user site-packages directory,4.87835079193961,7.1399,17.5422,43.7255,63.4549,16.2824,45.45,20.0,45.45
Use SoftmaxNormal quantiles to form quadrature on K - 1 simplex .,Generates a grid of quantiles and corresponding probabilities for a softmax-normal distribution using quadrature.,4.939525371162561,1.9731,8.3598,15.625,64.7125,96.2249,16.67,0.0,16.67
Prepares and runs an SQL query for the history database .,Run a SQL command against the history or output history and return the results.,3.880031243994082,4.9071,12.7182,24.0385,62.216,92.0298,33.33,9.09,25.0
Returns an image tensor .,"Reads an image from a file, decodes it, converts its data type to float32, and returns the image tensor.",4.935159746506431,4.3941,10.2091,57.3864,65.2671,87.9761,34.78,19.05,26.09
Given an list of words this function highlights the matched text in the given string .,Apply highlighting to a string using specified keywords and a CSS class name for the highlighted sections.,4.991252222383772,1.7762,7.3279,16.4474,55.5212,94.834,12.5,0.0,6.25
Transform a 0 - D or 1 - D Tensor to be 1 - D .,"Expands a scalar to a vector or verifies if the input is a vector, with optional validation.",3.413977668417347,1.9657,8.1097,20.4082,55.6962,97.3845,23.08,0.0,15.38
Handles display of the options menu .,Invoke the 'edit_traits' method with a 'livemodal' kind of view when the 'info' object is initialized.,2.325231558757154,1.7762,7.3279,14.0845,51.8034,88.6219,17.39,0.0,17.39
The return value for each rule can be either retyped compressed or left alone . This method determines that and returns the source code text for accomplishing it .,"Retrieves the transformation for a given rule by looking up a directive with a matching name and applies the specified transformation, such as retype, compress, or identity.",4.966869819404228,1.589,5.9652,25.4915,55.4849,98.1208,22.22,0.0,18.52
Runs Picard MarkDuplicates on a BAM file . Requires that the BAM file be coordinate sorted .,"Use Picard tools to mark duplicates in a BAM file within a job environment, handling files and logging the runtime.",4.253780896722674,7.1244,12.1691,27.509,60.4304,79.5437,28.57,12.12,28.57
Patch the three methods belonging to IPushProducer onto the transport if it doesn t already have them . ( Agent assumes its transport has these . ),"Patch the transport object with no-op implementations for pauseProducing and resumeProducing, and map stopProducing to loseConnection if they are not already defined.",4.969612092933706,4.0817,9.2639,13.0435,57.9958,94.4106,26.09,9.09,21.74
Takes a FunctionBody and optionally a FunctionType yielding the string representation of the function line by line . The function type is required for formatting function parameter and return value information .,Generates and yields formatted WebAssembly function definition and body.,4.850817920427237,0.3284,1.9638,8.9606,55.6908,80.1665,15.38,0.0,15.38
Get summary and description of this notebook,Extracts the header and description from the first markdown cell of a Jupyter notebook,4.983498045516429,4.9071,12.7182,40.9903,54.8435,77.9505,38.1,10.53,38.1
